Player,Romanized Name,Nationality,Born,Status,Role,Team,Signature Heroes,Game Appearances,Approx. Total Winnings
iMOH97,Mohammed Alinize,Saudi Arabia,"August 24, 2001 (age 23)",Active,Tank Caster,,"D.Va, Sigma, Zarya",Overwatch Overwatch 2,"$37,280"
SeungAn,Lee Seung-an,South Korea,"October 30, 2006 (age 18)",Active,Tank,VEC,"Sigma, D.Va, Ramattra",Overwatch Overwatch 2,"$4,006"
Edison,Kim Tae-hoon,South Korea,"November 16, 2001 (age 23)",Active,DPS,REJECT,"Tracer, Reaper, Sojourn",Overwatch Overwatch 2,"$355,647"
Gaisen,Mori Yoshiki,Japan,"October 19, 2001 (age 23)",Active,Support,Aplomb Tiger,"Kiriko, Baptiste, Illari",Overwatch 2,"$1,183"
Majin,,France,"January  2, 2006 (age 19)",Active,Tank,,"D.Va, Sigma, Ramattra",Overwatch 2,"$1,763"
Aester,Shin Seung-woo,South Korea,"October 22, 2001 (age 23)",Active,Support DPS,Team XX,"Tracer, Mei, Echo",Overwatch Overwatch 2,"$6,304"
Proxiezs,,Indonesia,,Active,DPS Support,Cold Metal,"Sojourn, Genji, Baptiste",Overwatch Overwatch 2,"$2,262"
Univ2r,Jang Geon-ik,South Korea,"December 30, 2006 (age 18)",Active,Support,Full House,"Juno, Ana, Kiriko",Overwatch 2,$250
WhoRU,Lee Seung-jun,South Korea,"August 23, 2001 (age 23)",Active,DPS,Gen.G Esports,"Genji, Tracer, Pharah",Overwatch Overwatch 2,"$288,887"
Landon,,United States,"November  7, 2001 (age 23)",Active,Support,Al Qadsiah,"Baptiste, Kiriko, Brigitte",Overwatch Overwatch 2,"$114,937"
Misin,Choi Hyun-geun,South Korea,"April 22, 2006 (age 19)",Active,Support,,"Ana, Zenyatta",Overwatch Overwatch 2,"$5,700"
Mew,Li Xianyao,China,"September 29, 2000 (age 24)",Active,Support,Weibo Gaming,"Mercy, Brigitte, Lúcio",Overwatch,"$60,357"
Rrmy,,Japan,"July 25, 1996 (age 29)",Active,DPS,REJECT,"Tracer, Genji, Ashe",Overwatch Overwatch 2,"$2,800"
par,,New Zealand,"April  9, 2003 (age 22)",Retired,DPS,,"Sojourn, Tracer, Reaper",Overwatch Overwatch 2,"$7,228"
